env_name,aux,wass_critic_train_steps,num_steps,time_seconds
HalfCheetah-v2,l2,N/A,10000,62.26
HalfCheetah-v2,l2,N/A,20000,162.11
HalfCheetah-v2,l2,N/A,30000,264.25
HalfCheetah-v2,rkl,N/A,10000,68.02
HalfCheetah-v2,rkl,N/A,20000,177.04
HalfCheetah-v2,rkl,N/A,30000,281.09
HalfCheetah-v2,bisim,N/A,10000,68.88
HalfCheetah-v2,bisim,N/A,20000,176.42
HalfCheetah-v2,bisim,N/A,30000,280.43
HalfCheetah-v2,bisim_critic,1,10000,77.54
HalfCheetah-v2,bisim_critic,1,20000,199.77
HalfCheetah-v2,bisim_critic,1,30000,321.15
HalfCheetah-v2,bisim_critic,5,10000,97.64
HalfCheetah-v2,bisim_critic,5,20000,270.32
HalfCheetah-v2,bisim_critic,5,30000,428.35
HalfCheetah-v2,bisim_critic,10,10000,126.42
HalfCheetah-v2,bisim_critic,10,20000,350.09
HalfCheetah-v2,bisim_critic,10,30000,581.48
HalfCheetah-v2,zp_critic,1,10000,72.51
HalfCheetah-v2,zp_critic,1,20000,194.2
HalfCheetah-v2,zp_critic,1,30000,313.89
HalfCheetah-v2,zp_critic,5,10000,100.2
HalfCheetah-v2,zp_critic,5,20000,271.33
HalfCheetah-v2,zp_critic,5,30000,446.19
HalfCheetah-v2,zp_critic,10,10000,127.26
HalfCheetah-v2,zp_critic,10,20000,365.86
HalfCheetah-v2,zp_critic,10,30000,607.57
